title,type,year,rating,imdb_score,rotten_score,decade,imdb_bucket,genres_Action_Adventure,genres_Animation,genres_Biography,genres_Children,genres_Comedy,genres_Crime,genres_Cult,genres_Documentary,genres_Drama,genres_Family,genres_Fantasy,genres_Food,genres_Game Show,genres_History,genres_Horror,genres_Independent,genres_LGBTQ,genres_Musical,genres_Mystery,genres_Reality,genres_Romance,genres_Science_Fiction,genres_Sport,genres_Stand_up_Talk,genres_Thriller,genres_Travel,platforms_acorntv,platforms_amazon_prime,platforms_cinemax,platforms_epix,platforms_fandor,platforms_free,platforms_fubo_tv,platforms_hbo,platforms_hbo_max,platforms_hoopla,platforms_hulu_plus,platforms_kanopy,platforms_netflix,platforms_shoutfactorytv,platforms_sundancenow,platforms_syfy_tveverywhere,platforms_tlc_go,platforms_viceland_tve,genre,platform
Boardwalk Empire,TV,2010,R/TV-MA,8.5,92.0,2010-2019,8.01-8.50,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Crime', 'genres_Drama', 'genres_History']","['platforms_hbo', 'platforms_hbo_max']"
Curb Your Enthusiasm,TV,2000,R/TV-MA,8.7,92.0,2000-2009,8.51-9.00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,['genres_Comedy'],"['platforms_hbo', 'platforms_hbo_max']"
They Shall Not Grow Old,,2018,R/TV-MA,8.3,99.0,2010-2019,8.01-8.50,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Documentary', 'genres_History']","['platforms_hbo', 'platforms_hbo_max']"
The Others,,2001,PG-13/TV-14,7.6,83.0,2000-2009,7.51-8.00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,"['genres_Drama', 'genres_Horror', 'genres_Mystery', 'genres_Thriller']","['platforms_hbo', 'platforms_hbo_max', 'platforms_hoopla']"
"Crazy, Stupid, Love.",,2011,PG-13/TV-14,7.4,79.0,2010-2019,7.01-7.50,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Comedy', 'genres_Drama', 'genres_Romance']","['platforms_hbo', 'platforms_hbo_max']"
Home Alone,,1990,PG/TV-PG,7.6,65.0,1990-1999,7.51-8.00,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Children', 'genres_Comedy', 'genres_Family']","['platforms_hbo', 'platforms_hbo_max']"
The Abyss,,1989,PG-13/TV-14,7.6,89.0,1980-1989,7.51-8.00,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Action_Adventure', 'genres_Drama', 'genres_Mystery', 'genres_Science_Fiction', 'genres_Thriller']","['platforms_hbo', 'platforms_hbo_max']"
The Night Of,TV,2016,R/TV-MA,8.5,94.0,2010-2019,8.01-8.50,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Crime', 'genres_Drama', 'genres_Mystery']","['platforms_hbo', 'platforms_hbo_max']"
The Hate U Give,,2018,PG-13/TV-14,7.4,97.0,2010-2019,7.01-7.50,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Crime', 'genres_Drama']","['platforms_hbo', 'platforms_hbo_max']"
Moulin Rouge!,,2001,PG-13/TV-14,7.6,76.0,2000-2009,7.51-8.00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Drama', 'genres_Musical', 'genres_Romance']","['platforms_hbo', 'platforms_hbo_max']"
